date,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6,Var2_7,Var2_8,Var2_9,Var2_10,Var2_11,Var2_12,Var2_13,Var2_14,Var2_15,Var2_16,Var2_17,Var2_18,Var2_19,Var2_20
1-Jan-30,0,0,9.552571138,0,0,8.627502918,0,0,0,0,1.859245522,0,2.370217959,14.38405821,15.06641701,4.326661719,1.520510587,0,0,0
2-Jan-30,0,0,6.277503093,0,17.23825402,0,0,0,0,0,0,0,7.709581296,8.580105914,8.618362559,3.770173603,0,0,0.210471451,0
3-Jan-30,0,7.915986935,7.183960464,0,4.731141408,0,2.508309695,0,0,0,0,0.015767672,1.990183519,1.841908786,0,1.087448365,0,0.073192712,6.356717216,0
4-Jan-30,0,4.179441664,1.503046128,0,0,6.58536768,0,0,0.20453767,0.141015131,0,0.03170152,8.839818398,0,4.489923186,0,0.031578374,0.016257975,15.41975281,0.065500021
5-Jan-30,0,0.82943168,0,0,0.667076384,0.268047788,0,0,0.554354986,0.015698484,0,3.568083829,25.20372285,0,2.256037686,0,0,0.337810419,0.105373556,0
6-Jan-30,0,0.975913044,0,0,2.794689152,0,0,0,0,0,0,0,4.469577617,0,11.20106522,0,0,0,0,0.121479039
7-Jan-30,0,1.092158417,0,0,3.798461874,0,0,0,0,0,0,0,4.680219928,0,1.307380954,0,0,0,0.480213134,0
8-Jan-30,0,0.160094124,0,0,2.675754143,0,0,0,0,0,0.031882379,0,0.031561426,0,31.17306699,1.804678685,2.77229668,0,0,0
9-Jan-30,0,0,0,0,0,0,0,0,0.220100055,13.49335543,0,0,0,0,1.798017859,0.117519799,3.859223472,0.031806173,0,0
10-Jan-30,0,0,0,0,4.75340981,0,0,0,0,8.100390726,0.350780459,0,0,0,0,2.379215989,2.040431221,0,0,0.099268532
11-Jan-30,0.705672277,0,0,22.95479192,0.148277351,0,0,0,0.943832388,3.676032517,0,0,0,0,0,0,2.581344863,0,0,1.817019655
12-Jan-30,2.779630635,0,0,32.31100623,0,12.25813691,0,0,14.40554221,21.92155615,0,0,0,0.366384465,0,0.157183162,11.58692529,0,0.198186459,1.636583984
13-Jan-30,0.288558725,0,0,65.39306725,17.17172967,1.966636386,0,1.142523355,8.88644939,2.508731246,0,0.015959534,0,1.255720539,0,1.910228968,0,0,0.952035642,7.299274868
14-Jan-30,0,0.672529062,0,27.24284935,3.074290845,0.217917315,0.895242433,16.414799,1.53033746,0,0,1.329403963,0,7.141682996,0,0,0,0,0,10.6724213
15-Jan-30,0,2.486484183,0,29.75237709,0,4.438613746,0,6.944665935,0,0.45315795,0,4.518851678,0,0,0,0,0,0,0.11372979,1.432623519
16-Jan-30,0,0.036136193,0.196707792,11.46701527,0,2.336988078,0,0,0.031259567,9.732564396,0,0.641143079,0,0.048775815,8.22307441,0,0,0,6.465123759,2.495502896
17-Jan-30,0,0,0,1.489972873,0,0,1.999642028,0,4.73961997,0.581450484,0,0.413815361,8.138930639,0,25.90618218,0,0,0,7.403133843,0.711424306
