date,avg_pr,stage_height
1-Jan-30,2.885359253,5.349
2-Jan-30,2.620222597,6.36505
3-Jan-30,1.685230839,5.131
4-Jan-30,2.075397028,5.929398901
5-Jan-30,1.690281883,4.5674
6-Jan-30,0.978136204,5.1623
7-Jan-30,0.567921715,4.711896696
8-Jan-30,1.932466721,4.847284127
9-Jan-30,0.97600114,5.325883181
10-Jan-30,0.886174837,4.62396418
11-Jan-30,1.641348548,4.79615
12-Jan-30,4.881056775,7.298607143
13-Jan-30,5.439545779,5.153
14-Jan-30,3.459573686,6.986
15-Jan-30,2.507025194,4.571402778
16-Jan-30,2.083714563,6.769950794
17-Jan-30,2.569208584,5.083616667
18-Jan-30,2.019252639,6.292666667
19-Jan-30,4.262806866,4.619666667
20-Jan-30,2.762831618,6.336333333
21-Jan-30,3.092708184,5.9
22-Jan-30,1.835668741,4.606733333
23-Jan-30,2.888819152,5.503266667
24-Jan-30,2.930487049,4.845
25-Jan-30,0.384538922,4.097866667
26-Jan-30,0.814570645,4.98035116
27-Jan-30,3.220336498,10.39
28-Jan-30,3.019799555,5.245
29-Jan-30,0.652372633,6.3035
30-Jan-30,1.015193773,5.399
31-Jan-30,1.428554422,6.994311799
1-Feb-30,1.64386888,5.008842063
2-Feb-30,0.897341504,4.598
3-Feb-30,0.062422899,5.187
4-Feb-30,0.156552404,5.76
5-Feb-30,1.087298257,4.539
6-Feb-30,0.822330609,4.64
7-Feb-30,0.465704334,5.509909524
8-Feb-30,0.70717706,3.939
9-Feb-30,0.810260882,4.899365174
10-Feb-30,0.677332099,5.148416667
11-Feb-30,0.93188054,4.727
12-Feb-30,1.496060549,3.533
13-Feb-30,1.196811421,5.538
14-Feb-30,2.517906972,5.513583333
15-Feb-30,2.34320726,4.468475
16-Feb-30,2.113282515,4.442
17-Feb-30,1.863246794,5.085166667
18-Feb-30,2.239236759,3.5
19-Feb-30,3.086054422,5.1051
20-Feb-30,3.077553874,5.6055
21-Feb-30,3.044324625,5.262255199
22-Feb-30,3.237336669,4.776
23-Feb-30,2.350209686,4.766316714
24-Feb-30,2.360886087,4.85889987
25-Feb-30,2.921091616,5.064
26-Feb-30,2.686527263,6.063377381
27-Feb-30,2.358492978,4.85889987
28-Feb-30,2.100929225,4.814333333
1-Mar-30,2.108796843,4.764333333
2-Mar-30,1.992071014,4.996
3-Mar-30,1.653668407,7.608
4-Mar-30,0.927776733,5.518723846
5-Mar-30,2.104079816,4.916333333
6-Mar-30,2.149593851,5.628333333
7-Mar-30,1.041777529,6.001486905
8-Mar-30,1.365218068,4.519166667
9-Mar-30,1.074624507,4.7265
10-Mar-30,0.864648785,4.824
11-Mar-30,0.912760745,5.164109524
12-Mar-30,0.333341454,5.460468939
13-Mar-30,1.793681291,5.464
14-Mar-30,0.714197485,6.188
15-Mar-30,0.677020644,5.148416667
16-Mar-30,2.774662677,5.334
17-Mar-30,3.808100742,5.1092
18-Mar-30,1.007467463,6.068646432
19-Mar-30,1.543394,3.938755556
20-Mar-30,1.534537809,4.281971248
21-Mar-30,1.093313586,5.596
22-Mar-30,1.127035313,3.751
23-Mar-30,0.740557111,4.792933333
24-Mar-30,0.217237168,5.267955145
25-Mar-30,0.526379143,5.390316667
26-Mar-30,0.542678895,4.681016667
27-Mar-30,1.041513186,6.001486905
28-Mar-30,2.119711043,4.421
29-Mar-30,0.722675184,5.137166667
30-Mar-30,1.152723788,5.208583333
31-Mar-30,1.277020217,6.111833333
1-Apr-30,3.15403587,3.917388889
2-Apr-30,0.714614707,6.204
3-Apr-30,0.102133664,6.414209233
4-Apr-30,0.994716448,5.382
5-Apr-30,1.554536545,3.946880952
6-Apr-30,0.108166084,3.6285
7-Apr-30,0.183908888,4.411709524
8-Apr-30,1.093791737,5.596
9-Apr-30,2.219875582,5.897633333
10-Apr-30,2.37846288,4.49
11-Apr-30,0.716882065,5.545
12-Apr-30,1.764427891,4.391666667
13-Apr-30,1.749773349,4.169366667
14-Apr-30,1.668017859,3.912266667
15-Apr-30,0.577487497,5.741676984
16-Apr-30,0.505981612,4.935916667
17-Apr-30,0.222893344,4.341
18-Apr-30,0.367845944,5.952
19-Apr-30,0.128501292,4.341061291
20-Apr-30,0.69726813,4.087766667
21-Apr-30,1.346367692,5.071928571
22-Apr-30,2.200736746,4.411554762
23-Apr-30,1.13168017,3.523541667
24-Apr-30,0.472879615,5.849583333
25-Apr-30,0.510017775,5.568274803
26-Apr-30,0.47639053,3.630883333
27-Apr-30,0.30323141,5.137225
28-Apr-30,0.145741149,4.617221401
29-Apr-30,0.273227669,6.215154036
30-Apr-30,0.057694013,5.658
1-May-30,0.140398518,6.361891079
2-May-30,0.515549038,6.1846
3-May-30,1.712461694,4.72275
4-May-30,1.097093004,5.711
5-May-30,0.649219449,4.232
6-May-30,1.781087998,7.280378571
7-May-30,0.091059808,6.554444444
8-May-30,0.633814214,4.776598377
9-May-30,0.042564573,4.7
10-May-30,0.003401173,5.782929829
11-May-30,0.015721758,4.969419153
12-May-30,0.280703845,5.729
13-May-30,0.079750155,6.675828463
14-May-30,0.505444589,4.935916667
15-May-30,0.121787852,5.917521421
16-May-30,0.255737178,4.891961905
17-May-30,0.640681526,5.514509524
18-May-30,0.205056187,4.791
19-May-30,0.138294261,5.237063095
20-May-30,0.386398672,4.097866667
21-May-30,0.220743772,4.337
22-May-30,0.343844731,6.110407237
23-May-30,2.701224918,6.358333333
24-May-30,0.917485829,5.111
25-May-30,0.884309801,4.26996418
26-May-30,0.355697045,5.812048878
27-May-30,0.305691019,4.832707254
28-May-30,0.322515449,4.668679834
29-May-30,0.221339821,4.337
30-May-30,0.083341824,5.533066667
31-May-30,0.036590116,5.8452
1-Jun-30,1.145190008,6.459069048
2-Jun-30,0.162150441,5.67154246
3-Jun-30,0.154370869,5.851016667
4-Jun-30,0.039945077,4.430007287
5-Jun-30,0.092084098,5.76321558
6-Jun-30,0.092177893,5.76321558
7-Jun-30,0.090115988,4.6285
8-Jun-30,0.110946231,6.39895119
9-Jun-30,0.035439056,6.869602381
10-Jun-30,0.027464774,6.164758428
11-Jun-30,0.229863246,5.793568943
12-Jun-30,0.126845909,4.501717485
13-Jun-30,0.151983594,4.8215
14-Jun-30,0.037420437,6.687529762
15-Jun-30,0.04522912,5.591009787
16-Jun-30,0.052490664,5.5715
17-Jun-30,0.187697529,3.6
18-Jun-30,0.045503813,5.591009787
19-Jun-30,0.101801734,6.398614062
20-Jun-30,0.066322843,5.774313249
21-Jun-30,0.034270292,5.743142857
22-Jun-30,0.064018473,6.220455556
23-Jun-30,0.26723267,6.101
24-Jun-30,0.073818824,5.373367857
25-Jun-30,0.058861844,5.91
26-Jun-30,0.059034617,5.91
27-Jun-30,0.050957819,5.4605
28-Jun-30,0.050435443,4.8845
29-Jun-30,0.06284813,5.927907937
30-Jun-30,0.272945728,6.215154036
1-Jul-30,0.266780219,5.217
2-Jul-30,0.246166446,5.675
3-Jul-30,0.240693296,5.813
4-Jul-30,0.488592187,3.6304
5-Jul-30,0.250923236,3.5
6-Jul-30,0.226066336,4.722
7-Jul-30,0.2284926,5.761568943
8-Jul-30,0.371860007,4.299757431
9-Jul-30,0.305961781,4.832707254
10-Jul-30,0.242830362,6.065
11-Jul-30,0.173356444,5.746115624
12-Jul-30,0.272608505,3.686619048
13-Jul-30,0.286083987,5.073418182
14-Jul-30,0.190795444,4.308065729
15-Jul-30,0.129117998,4.341061291
16-Jul-30,0.12579445,6.369395635
